Reference;CodeBarre;Designation;Unite;PrixAchatHT;PrixVenteHT;TauxTVA;StockActuel;StockMinimum;Categorie;Actif
120;;kfel 75 mm 44/sse;qte;0,00;0,00;20,00;0,00;0,00;;Oui
121;;cano 6mm 4mex;qte;0,00;0,00;20,00;0,00;0,00;;Oui
122;;cano 6mm oscar;qte;0,00;0,00;20,00;0,00;0,00;;Oui
123;;paso 3/8/1/2 kupp;qte;0,00;0,00;20,00;0,00;0,00;;Oui
124;;cano 6m gusail;qte;0,00;0,00;20,00;0,00;0,00;;Oui
125;;cano 8m dimax;qte;0,00;0,00;20,00;0,00;0,00;;Oui
126;;cano 6m docha gmr;qte;0,00;0,00;20,00;0,00;0,00;;Oui
127;;cano 6m ambo;qte;0,00;0,00;20,00;0,00;0,00;;Oui
128;;loba 700b laperche;qte;0,00;0,00;20,00;0,00;0,00;;Oui
129;;mango bab fexa/kupa;qte;0,00;0,00;20,00;0,00;0,00;;Oui
130;;loba alum umex;qte;0,00;0,00;20,00;0,00;0,00;;Oui
131;;loba alum jairor;qte;0,00;0,00;20,00;0,00;0,00;;Oui
132;;loba alum ambo;qte;0,00;0,00;20,00;0,00;0,00;;Oui
133;;loba 70 bricomed;qte;0,00;0,00;20,00;0,00;0,00;;Oui
134;;loba 850b master;qte;0,00;0,00;20,00;0,00;0,00;;Oui
135;;kfel fff;qte;0,00;0,00;20,00;0,00;0,00;;Oui
136;;kfel lock;qte;0,00;0,00;20,00;0,00;0,00;;Oui
137;;cano nhas 10m;qte;0,00;0,00;20,00;0,00;0,00;;Oui
138;;support rachacha encastre clemed carre;qte;0,00;0,00;20,00;0,00;0,00;;Oui
139;;sifon inox 40 clemed;qte;0,00;0,00;20,00;0,00;0,00;;Oui
140;;cano 70mm 340;qte;0,00;0,00;20,00;0,00;0,00;;Oui
141;;support takala chrome itay;qte;0,00;0,00;20,00;0,00;0,00;;Oui
142;;support takala mkg;qte;0,00;0,00;20,00;0,00;0,00;;Oui
143;;loba bab cledor;qte;0,00;0,00;20,00;0,00;0,00;;Oui
144;;paso 1/2/3/4 noir sus 304;qte;0,00;0,00;20,00;0,00;0,00;;Oui
145;;paso mini vame;qte;0,00;0,00;20,00;0,00;0,00;;Oui
146;;cano 60mm zate;qte;0,00;0,00;20,00;0,00;0,00;;Oui
147;;paso 1/2/3/4 clemed;qte;0,00;0,00;20,00;0,00;0,00;;Oui
148;;ras grifo alfa plus;qte;0,00;0,00;20,00;0,00;0,00;;Oui
149;;ras grifo clemed;qte;0,00;0,00;20,00;0,00;0,00;;Oui
150;;ras grifo toper;qte;0,00;0,00;20,00;0,00;0,00;;Oui
151;;poussoir chrome pdium;qte;0,00;0,00;20,00;0,00;0,00;;Oui
152;;poussoir noir podium;qte;0,00;0,00;20,00;0,00;0,00;;Oui
153;;poussoir plato docha;qte;0,00;0,00;20,00;0,00;0,00;;Oui
154;;paso 1/2*1/2 doble glama;qte;0,00;0,00;20,00;0,00;0,00;;Oui
